band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B27885622238,B27885622238,"",E,07/18/2023,18,07,2023,US,US-WI,43.08333,-89.41667,10,W1,Mallard,1320,3,00,1,4,P9972302,"",66,23,15,07,3.08,R,19482494,Anas platyrhynchos
B27885628852,B27885628852,"",B,02/17/2021,17,02,2021,US,US-KY,37.50000,-89.50000,60,W1,Mallard,1320,3,00,1,4,P8988676,0,"","","","",,B,14045914,Anas platyrhynchos
B27885628852,B27885628852,"",E,12/02/2021,02,12,2021,US,US-WI,43.96928,-91.38893,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,1.50,E,763165,Anas platyrhynchos
B27885636238,B27885636238,"",B,08/12/2019,12,08,2019,US,US-WI,44.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10182144,Anas platyrhynchos
B27885636238,B27885636238,"",E,10/12/2019,12,10,2019,US,US-WI,45.30691,-92.52631,11,W1,Mallard,1320,"","","","","","",01,21,07,04,0.33,E,492859,Anas platyrhynchos
B27885639276,B27885639276,"",B,08/13/2018,13,08,2018,US,US-WI,44.50000,-88.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-15154594,Anas platyrhynchos
B27885639276,B27885639276,"",E,11/06/2018,06,11,2018,US,US-WI,44.55214,-88.56464,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-10928186,Anas platyrhynchos
B27885642548,B27885642548,"",B,02/04/2019,04,02,2019,US,US-KY,37.50000,-86.50000,60,W1,Mallard,1320,3,00,1,4,P8988676,0,"","","","",,B,10956362,Anas platyrhynchos
B27885642548,B27885642548,"",E,11/23/2021,23,11,2021,US,US-WI,43.71088,-91.21269,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,3.42,E,755899,Anas platyrhynchos
B27885672067,B27885672067,"",B,08/13/2019,13,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,10001882,Anas platyrhynchos
B27885672067,B27885672067,"",E,10/05/2019,05,10,2019,US,US-WI,44.42121,-87.80731,11,W1,Female mallard,1320,"","","","","","",01,21,07,04,0.33,E,489750,Anas platyrhynchos
B27885672228,B27885672228,"",B,08/13/2019,13,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,10001830,Anas platyrhynchos
B27885672228,B27885672228,"",E,09/28/2019,28,09,2019,US,US-WI,44.10499,-87.95787,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,487301,Anas platyrhynchos
B27885678238,B27885678238,"",B,08/27/2018,27,08,2018,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15199358,Anas platyrhynchos
B27885678238,B27885678238,"",E,11/10/2018,10,11,2018,US,US-WI,45.11472,-91.48877,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-10928301,Anas platyrhynchos
B27885679277,B27885679277,"",B,08/14/2019,14,08,2019,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,1,5,P9972302,0,"","","","",,B,10038576,Anas platyrhynchos
B27885679277,B27885679277,"",E,11/16/2019,16,11,2019,US,US-WI,45.22477,-92.60409,11,W1,Mallard,1320,"","","","","","",01,21,07,05,1.42,E,508240,Anas platyrhynchos
B27885726376,B27885726376,"",B,08/13/2019,13,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001318,Anas platyrhynchos
B27885726376,B27885726376,"",E,09/28/2019,28,09,2019,US,US-WI,44.45833,-87.54358,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,486623,Anas platyrhynchos
B27885726695,B27885726695,"",B,08/15/2019,15,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001454,Anas platyrhynchos
B27885726695,B27885726695,"",E,12/01/2019,01,12,2019,US,US-WI,44.39296,-87.84862,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.50,E,515483,Anas platyrhynchos
B27885727272,B27885727272,"",B,08/06/2019,06,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001138,Anas platyrhynchos
B27885727272,B27885727272,"",E,10/12/2019,12,10,2019,US,US-WI,45.18052,-90.01107,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,493285,Anas platyrhynchos
B27885727577,B27885727577,"",B,08/06/2019,06,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001078,Anas platyrhynchos
B27885727577,B27885727577,"",E,08/15/2019,15,08,2019,US,US-WI,44.08333,-87.91667,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,10328608,Anas platyrhynchos
B27885727577,B27885727577,"",E,10/06/2019,06,10,2019,US,US-WI,44.50194,-87.79355,11,W1,Mallard,1320,"","","","","","",01,21,07,04,0.33,E,491060,Anas platyrhynchos
B27885727738,B27885727738,"",B,08/08/2019,08,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001226,Anas platyrhynchos
B27885727738,B27885727738,"",E,10/07/2020,07,10,2020,US,US-WI,43.58771,-88.98012,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,1.33,E,589987,Anas platyrhynchos
B27885727897,B27885727897,"",B,08/08/2019,08,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10001214,Anas platyrhynchos
B27885727897,B27885727897,"",E,11/09/2019,09,11,2019,US,US-WI,44.63194,-88.03927,11,W1,Mallard,1320,"","","","","","",01,21,07,04,0.42,E,505697,Anas platyrhynchos
B27885728058,B27885728058,"",B,08/01/2019,01,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10000988,Anas platyrhynchos
B27885728058,B27885728058,"",E,08/06/2019,06,08,2019,US,US-WI,44.08333,-87.91667,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,10328590,Anas platyrhynchos
B27885728298,B27885728298,"",B,08/01/2019,01,08,2019,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,10000960,Anas platyrhynchos
B27885728298,B27885728298,"",E,08/06/2019,06,08,2019,US,US-WI,44.08333,-87.91667,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,10328558,Anas platyrhynchos
B27885729017,B27885729017,"",B,08/23/2018,23,08,2018,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15113418,Anas platyrhynchos
B27885729017,B27885729017,"",E,10/07/2018,07,10,2018,US,US-WI,43.73766,-87.87953,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-10938767,Anas platyrhynchos
B27885729092,B27885729092,"",B,08/23/2018,23,08,2018,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15113416,Anas platyrhynchos
B27885729092,B27885729092,"",E,09/29/2018,29,09,2018,US,US-WI,44.02078,-88.24100,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,-10941204,Anas platyrhynchos
B27885729739,B27885729739,"",B,08/23/2018,23,08,2018,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15111456,Anas platyrhynchos
B27885729739,B27885729739,"",E,10/21/2018,21,10,2018,US,US-WI,44.01386,-87.79879,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-10934907,Anas platyrhynchos
B27885729817,B27885729817,"",B,08/23/2018,23,08,2018,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15111464,Anas platyrhynchos
B27885729817,B27885729817,"",E,10/19/2018,19,10,2018,US,US-WI,44.28828,-88.25780,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-10933123,Anas platyrhynchos
B27885729978,B27885729978,"",B,08/23/2018,23,08,2018,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-15111470,Anas platyrhynchos
B27885729978,B27885729978,"",E,10/15/2022,15,10,2022,US,US-WI,44.68130,-87.43259,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,4.33,E,919935,Anas platyrhynchos
B27905032469,B27905032469,"",B,08/05/2016,05,08,2016,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-17572561,Anas platyrhynchos
B27905032469,B27905032469,"",E,10/01/2016,01,10,2016,US,US-WI,44.30950,-89.15222,0,41,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9887535,Anas platyrhynchos
B27905032947,B27905032947,"",B,08/05/2016,05,08,2016,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-17568561,Anas platyrhynchos
B27905032947,B27905032947,"",E,05/12/2020,12,05,2020,US,US-WI,44.95525,-90.43458,11,41,Duck,1320,"","","","","","",00,21,07,04,3.92,E,562232,Anas platyrhynchos
B27905034235,B27905034235,"",B,08/25/2015,25,08,2015,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-52358040,Anas platyrhynchos
B27905034235,B27905034235,"",E,10/15/2015,15,10,2015,US,US-WI,44.39219,-89.84318,11,41,GREENHEAD MALLARD,1320,"","","","","","",01,21,61,05,0.33,E,-9982844,Anas platyrhynchos
B27905042220,B27905042220,"",B,08/08/2016,08,08,2016,US,US-WI,44.50000,-91.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-17656055,Anas platyrhynchos
B27905042220,B27905042220,"",E,09/24/2016,24,09,2016,US,US-WI,44.99840,-91.74652,11,41,MALLARD,1320,"","","","","","",01,21,61,05,0.25,E,-9932453,Anas platyrhynchos
B27905042780,B27905042780,"",B,08/18/2016,18,08,2016,US,US-WI,44.50000,-91.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-17652073,Anas platyrhynchos
B27905042780,B27905042780,"",E,12/05/2017,05,12,2017,US,US-WI,44.39372,-92.02194,0,41,mallard,1320,"","","","","","",01,21,07,05,1.50,E,-10962960,Anas platyrhynchos
B27905263329,B27905263329,"",B,04/25/2016,25,04,2016,CA,CA-ON,48.50000,-89.50000,60,41,Mallard,1320,3,00,1,4,P5835168,0,"","","","",,B,-17868318,Anas platyrhynchos
B27905263329,B27905263329,"",E,11/15/2017,15,11,2017,US,US-WI,42.85252,-88.13064,11,41,Mallard,1320,"","","","","","",01,21,07,05,2.42,E,-9855491,Anas platyrhynchos
B27905282230,B27905282230,"",B,04/21/2021,21,04,2021,CA,CA-ON,48.50000,-89.50000,60,41,Mallard,1320,3,00,1,5,P5835168,0,"","","","",,B,15188176,Anas platyrhynchos
B27905282230,B27905282230,"",E,11/07/2021,07,11,2021,US,US-WI,44.24031,-87.80231,11,41,MALLARD,1320,"","","","","","",01,21,07,05,1.42,E,740853,Anas platyrhynchos
B27905305275,B27905305275,"",B,08/15/2012,15,08,2012,US,US-WI,43.50000,-88.50000,60,41,Mallard,1320,3,00,2,5,P8988788,0,"","","","",,B,-53958323,Anas platyrhynchos
B27905305275,B27905305275,"",E,09/30/2012,30,09,2012,US,US-WI,43.21650,-88.94949,0,41,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,-8914743,Anas platyrhynchos
B27905423654,B27905423654,"",B,02/25/2015,25,02,2015,US,US-KY,37.50000,-86.50000,60,41,Mallard,1320,3,00,1,4,P8988676,0,"","","","",,B,-52566129,Anas platyrhynchos
B27905423654,B27905423654,"",E,12/02/2022,02,12,2022,US,US-WI,43.78528,-89.04683,0,41,MALLARD,1320,"","","","","","",01,21,07,05,8.50,E,962445,Anas platyrhynchos
B27905429175,B27905429175,"",B,02/11/2014,11,02,2014,US,US-KY,37.50000,-87.50000,60,41,Mallard,1320,3,00,1,4,P8988676,0,"","","","",,B,-46465308,Anas platyrhynchos
B27905429175,B27905429175,"",E,11/10/2015,10,11,2015,US,US-WI,43.72498,-89.25428,11,41,Duck,1320,"","","","","","",01,21,07,05,2.42,E,-9970794,Anas platyrhynchos
B27905632945,B27905632945,"",B,02/27/2015,27,02,2015,US,US-KY,37.50000,-89.50000,60,41,Mallard,1320,3,00,1,5,P8988676,0,"","","","",,B,-46500263,Anas platyrhynchos
B27905632945,B27905632945,"",E,10/10/2020,10,10,2020,US,US-WI,43.70539,-88.74457,11,41,MALLARD,1320,"","","","","","",01,21,07,04,6.33,E,591052,Anas platyrhynchos
B27905752945,B27905752945,"",B,08/28/2014,28,08,2014,CA,CA-ON,48.50000,-79.50000,60,41,Mallard,1320,3,70,2,4,P8838868,0,"","","","",,B,-53074058,Anas platyrhynchos
B27905752945,B27905752945,"",E,10/25/2015,25,10,2015,US,US-WI,44.59860,-87.98344,11,41,Mallard,1320,"","","","","","",01,21,07,05,1.33,E,-9968112,Anas platyrhynchos
B27905788238,B27905788238,"",B,08/03/2013,03,08,2013,CA,CA-ON,48.50000,-89.50000,60,41,Mallard,1320,3,00,1,5,P5835168,0,"","","","",,B,-59109846,Anas platyrhynchos
B27905788238,B27905788238,"",E,10/22/2013,22,10,2013,US,US-WI,43.92878,-91.30143,11,41,Mallard X Black Duck Hybrid,1320,"","","","","","",01,21,07,05,1.33,E,-12985543,Anas platyrhynchos
B27905982230,B27905982230,"",B,08/11/2023,11,08,2023,US,US-MN,47.50000,-94.50000,60,41,Mallard,1320,3,70,4,5,P9979297,0,"","","","",,B,19466102,Anas platyrhynchos
B27905982230,B27905982230,"",E,10/30/2023,30,10,2023,US,US-WI,44.40129,-92.00764,0,41,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1140273,Anas platyrhynchos
B27905985278,B27905985278,"",B,09/05/2014,05,09,2014,US,US-MN,44.50000,-95.50000,60,41,Mallard,1320,3,00,2,4,P9979297,0,"","","","",,B,-53206127,Anas platyrhynchos
B27905985278,B27905985278,"",E,10/10/2015,10,10,2015,US,US-WI,43.05074,-88.98295,0,41,Mallard,1320,"","","","","","",01,21,07,05,1.33,E,-9994840,Anas platyrhynchos
B27995032787,B27995032787,"",B,08/12/2015,12,08,2015,US,US-MI,42.50000,-84.50000,60,41,Mallard,1320,3,00,2,4,P4924474,0,"","","","",,B,-46354184,Anas platyrhynchos
B27995032787,B27995032787,"",E,11/11/2016,11,11,2016,US,US-WI,44.11099,-88.71164,0,41,Mallard,1320,"","","","","","",01,21,07,04,1.42,E,-9891250,Anas platyrhynchos
B27995231482,B27995231482,"",B,08/17/2016,17,08,2016,CA,CA-MB,50.50000,-98.50000,60,41,Mallard,1320,3,00,2,4,P1831861,0,"","","","",,B,-17339443,Anas platyrhynchos
B27995231482,B27995231482,"",E,10/12/2019,12,10,2019,US,US-WI,43.90461,-87.79897,0,41,Mallard,1320,"","","","","","",01,21,07,04,3.33,E,492722,Anas platyrhynchos
B27995232622,B27995232622,"",B,08/16/2016,16,08,2016,CA,CA-MB,50.50000,-98.50000,60,41,Mallard,1320,3,00,2,4,P1831861,0,"","","","",,B,-17341451,Anas platyrhynchos
B27995232622,B27995232622,"",E,11/10/2017,10,11,2017,US,US-WI,44.25100,-91.89282,11,41,Mallard,1320,"","","","","","",01,21,07,04,1.42,E,-12189179,Anas platyrhynchos
B27995243487,B27995243487,"",B,08/26/2017,26,08,2017,CA,CA-MB,50.50000,-98.50000,60,41,Mallard,1320,3,00,1,5,P1831861,0,"","","","",,B,-16186273,Anas platyrhynchos
B27995243487,B27995243487,"",E,11/11/2017,11,11,2017,US,US-WI,43.98033,-91.32459,0,41,Mallard,1320,"","","","","","",01,21,07,05,1.42,E,-10968442,Anas platyrhynchos
B27995247009,B27995247009,"",B,09/25/2018,25,09,2018,CA,CA-MB,51.50000,-99.50000,60,41,Mallard,1320,3,00,1,4,P1831861,0,"","","","",,B,-14864054,Anas platyrhynchos
B27995247009,B27995247009,"",E,11/18/2023,18,11,2023,US,US-WI,42.93744,-89.19002,11,41,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,6.42,E,1153221,Anas platyrhynchos
B27995275407,B27995275407,"",B,01/27/2016,27,01,2016,CA,CA-ON,43.50000,-77.50000,60,41,Mallard,1320,3,00,5,4,P9839151,0,"","","","",,B,-18158769,Anas platyrhynchos
B27995275407,B27995275407,"",E,11/04/2018,04,11,2018,US,US-WI,42.85252,-88.13064,11,41,Mallard,1320,"","","","","","",01,21,07,04,3.42,E,-10928992,Anas platyrhynchos
B27995321731,B27995321731,"",B,09/10/2014,10,09,2014,US,US-MN,48.50000,-95.50000,60,41,Mallard,1320,3,00,1,4,P7976066,0,"","","","",,B,-53196992,Anas platyrhynchos
B27995321731,B27995321731,"",E,10/15/2018,15,10,2018,US,US-WI,43.75064,-89.11336,0,41,Mallard Drake,1320,"","","","","","",01,21,07,05,5.33,E,-10930413,Anas platyrhynchos
B27995326776,B27995326776,"",B,09/10/2014,10,09,2014,US,US-MN,48.50000,-95.50000,60,41,Mallard,1320,3,00,2,5,P7976066,0,"","","","",,B,-53225478,Anas platyrhynchos
B27995326776,B27995326776,"",E,11/12/2014,12,11,2014,US,US-WI,44.42024,-92.00822,11,41,MALLARD,1320,"","","","","","",01,21,61,05,0.42,E,-8564074,Anas platyrhynchos
B27995328775,B27995328775,"",B,09/05/2014,05,09,2014,US,US-MN,48.50000,-95.50000,60,41,Mallard,1320,3,00,2,4,P7976066,0,"","","","",,B,-46517704,Anas platyrhynchos
B27995328775,B27995328775,"",E,11/11/2014,11,11,2014,US,US-WI,44.62374,-92.61480,0,41,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-8571516,Anas platyrhynchos
B27995390235,B27995390235,"",B,09/02/2014,02,09,2014,US,US-WI,43.50000,-88.50000,60,41,Mallard,1320,3,00,1,4,P8988788,0,"","","","",,B,-53113454,Anas platyrhynchos
B27995390235,B27995390235,"",E,10/14/2017,14,10,2017,US,US-WI,43.57623,-88.51355,11,41,Drake mallard,1320,"","","","","","",01,21,07,05,4.33,E,-9868065,Anas platyrhynchos
B27995502235,B27995502235,"",B,08/12/2014,12,08,2014,US,US-MI,44.50000,-86.50000,60,41,Mallard,1320,3,00,1,5,P4924474,0,"","","","",,B,-53077699,Anas platyrhynchos
B27995502235,B27995502235,"",E,09/27/2014,27,09,2014,US,US-WI,44.91791,-89.57691,11,41,MALLARD,1320,"","","","","","",01,21,61,05,1.25,E,-8906334,Anas platyrhynchos
B27995523579,B27995523579,"",B,08/31/2016,31,08,2016,CA,CA-ON,49.50000,-83.50000,60,41,Mallard,1320,3,70,2,4,P8838868,0,"","","","",,B,-17333534,Anas platyrhynchos
B27995523579,B27995523579,"",E,11/01/2017,01,11,2017,US,US-WI,45.84515,-92.62296,0,41,Mallard,1320,"","","","","","",01,21,07,05,1.42,E,-9859734,Anas platyrhynchos
B27995662465,B27995662465,"",B,08/15/2016,15,08,2016,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17554493,Anas platyrhynchos
B27995662465,B27995662465,"",E,11/11/2016,11,11,2016,US,US-WI,44.20861,-89.73399,0,41,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-9908149,Anas platyrhynchos
B27995662787,B27995662787,"",B,08/23/2016,23,08,2016,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17550565,Anas platyrhynchos
B27995662787,B27995662787,"",E,10/18/2016,18,10,2016,US,US-WI,44.45636,-89.58445,11,41,MALLARD,1320,"","","","","","",01,21,61,05,0.33,E,-9893746,Anas platyrhynchos
B27995674236,B27995674236,"",B,09/06/2017,06,09,2017,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16344969,Anas platyrhynchos
B27995674236,B27995674236,"",E,09/30/2017,30,09,2017,US,US-WI,43.74792,-89.31984,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,-9871097,Anas platyrhynchos
B27995721097,B27995721097,"",B,08/31/2017,31,08,2017,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16410110,Anas platyrhynchos
B27995721097,B27995721097,"",E,11/23/2017,23,11,2017,US,US-WI,44.02729,-88.50571,0,41,Mallard,1320,"","","","","","",01,21,07,04,0.42,E,-12173736,Anas platyrhynchos
B27995721259,B27995721259,"",B,08/31/2017,31,08,2017,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16412034,Anas platyrhynchos
B27995721259,B27995721259,"",E,11/13/2020,13,11,2020,US,US-WI,43.84967,-88.89075,0,41,Mallard drake,1320,"","","","","","",01,21,07,05,3.42,E,604835,Anas platyrhynchos
B27995721335,B27995721335,"",B,08/29/2017,29,08,2017,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16412042,Anas platyrhynchos
B27995721335,B27995721335,"",E,10/01/2017,01,10,2017,US,US-WI,44.14860,-88.10621,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9872893,Anas platyrhynchos
B27995724695,B27995724695,"",B,09/07/2017,07,09,2017,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16152866,Anas platyrhynchos
B27995724695,B27995724695,"",E,11/09/2017,09,11,2017,US,US-WI,43.94429,-88.54452,0,41,Unknown,1320,"","","","","","",01,21,07,05,0.42,E,-9858600,Anas platyrhynchos
B27995725412,B27995725412,"",B,09/07/2017,07,09,2017,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-16386125,Anas platyrhynchos
B27995725412,B27995725412,"",E,10/01/2017,01,10,2017,US,US-WI,44.48604,-87.59655,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9869325,Anas platyrhynchos
B27995756237,B27995756237,"",B,07/10/2017,10,07,2017,US,US-WI,45.50000,-89.50000,60,41,Mallard,1320,3,00,4,5,P9972302,0,"","","","",,B,-16517337,Anas platyrhynchos
B27995756237,B27995756237,"",E,11/03/2018,03,11,2018,US,US-WI,44.64866,-90.19256,0,41,Mallard,1320,"","","","","","",52,21,07,07,1.42,E,-10928494,Anas platyrhynchos
B27995792147,B27995792147,"",B,08/23/2017,23,08,2017,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16354470,Anas platyrhynchos
B27995792147,B27995792147,"",E,11/22/2017,22,11,2017,US,US-WI,43.71387,-89.20956,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-10968863,Anas platyrhynchos
B27995792229,B27995792229,"",B,08/23/2017,23,08,2017,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16354478,Anas platyrhynchos
B27995792229,B27995792229,"",E,10/01/2017,01,10,2017,US,US-WI,43.61220,-89.26928,11,41,Drake mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9866942,Anas platyrhynchos
B27995792789,B27995792789,"",B,08/30/2017,30,08,2017,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-16352568,Anas platyrhynchos
B27995792789,B27995792789,"",E,10/22/2017,22,10,2017,US,US-WI,43.88233,-89.11153,0,41,Drake Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9860773,Anas platyrhynchos
B27995798237,B27995798237,"",B,08/30/2017,30,08,2017,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-16344999,Anas platyrhynchos
B27995798237,B27995798237,"",E,10/03/2017,03,10,2017,US,US-WI,43.71387,-89.20956,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,-9867486,Anas platyrhynchos
B28015038230,B28015038230,"",B,08/25/2015,25,08,2015,US,US-WI,44.50000,-87.50000,60,41,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-46365278,Anas platyrhynchos
B28015038230,B28015038230,"",E,08/27/2015,27,08,2015,US,US-WI,44.08333,-87.91667,10,41,Mallard,1320,3,00,0,5,P9972302,"",66,23,14,07,0.17,R,-32240389,Anas platyrhynchos
B28015100230,B28015100230,"",B,08/25/2016,25,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17456019,Anas platyrhynchos
B28015100230,B28015100230,"",E,11/30/2016,30,11,2016,US,US-WI,43.22403,-88.89435,0,41,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-9909798,Anas platyrhynchos
B28015102140,B28015102140,"",B,08/18/2016,18,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17592714,Anas platyrhynchos
B28015102140,B28015102140,"",E,08/31/2016,31,08,2016,US,US-WI,43.75000,-89.25000,10,41,Mallard,1320,3,00,0,4,P9972302,"",66,23,14,07,0.17,R,-31989594,Anas platyrhynchos
B28015102221,B28015102221,"",B,08/18/2016,18,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17592722,Anas platyrhynchos
B28015102221,B28015102221,"",E,11/30/2017,30,11,2017,US,US-WI,42.85118,-88.95534,0,41,Drake Mallard,1320,"","","","","","",01,21,07,04,1.42,E,-12172197,Anas platyrhynchos
B28015102305,B28015102305,"",B,08/18/2016,18,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17592730,Anas platyrhynchos
B28015102305,B28015102305,"",E,11/05/2016,05,11,2016,US,US-WI,43.61871,-88.80625,11,41,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,-9895086,Anas platyrhynchos
B28015102381,B28015102381,"",B,08/18/2016,18,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17592728,Anas platyrhynchos
B28015102381,B28015102381,"",E,08/25/2016,25,08,2016,US,US-WI,43.75000,-89.25000,10,41,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,-31999567,Anas platyrhynchos
B28015102460,B28015102460,"",B,08/18/2016,18,08,2016,US,US-WI,43.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-17592736,Anas platyrhynchos
B28015102460,B28015102460,"",E,08/25/2016,25,08,2016,US,US-WI,43.75000,-89.25000,10,41,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,-31999568,Anas platyrhynchos
B28015111271,B28015111271,"",B,09/01/2012,01,09,2012,US,US-WI,44.50000,-89.50000,60,41,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,-56524333,Anas platyrhynchos
